,,Coverage,,,,,,,Sum of Count,,,,,,
State,County,0,0 to 1,1 to 3,3 to 6,6 to 9,> 9,All,0,0 to 1,1 to 3,3 to 6,6 to 9,> 9,All
Florida,,"$66,885,372,600 ","$5,206,684,500 ","$5,837,717,600 ","$728,835,700 ","$38,671,900 ","$13,502,700 ","$78,710,785,000 ",158858,14355,14469,2290,80,45,190097
Florida,Brevard County,"$6,177,599,500 ","$1,313,946,800 ","$676,348,200 ","$3,000,000 ","$31,122,300 ",,"$8,202,016,800 ",14520,3883,1627,1,61,,20092
Florida,Charlotte County,"$54,290,700 ",,,,,,"$54,290,700 ",212,,,,,,212
Florida,Clay County,"$746,695,000 ","$4,244,500 ","$84,379,200 ","$2,625,000 ",,,"$837,943,700 ",2338,13,261,8,,,2620
Florida,Duval County,"$5,415,929,100 ","$295,555,800 ","$1,256,752,700 ","$165,954,700 ","$500,000 ","$13,502,700 ","$7,148,195,000 ",14773,871,3472,586,1,45,19748
Florida,Flagler County,"$1,488,896,700 ","$231,298,300 ","$640,028,400 ","$183,907,700 ",,,"$2,544,131,100 ",3685,693,1417,516,,,6311
Florida,Indian River County,"$2,620,304,400 ","$1,346,662,400 ",,,,,"$3,966,966,800 ",6507,3248,,,,,9755
Florida,Lee County,"$14,877,256,400 ",,,,,,"$14,877,256,400 ",41514,,,,,,41514
Florida,Martin County,"$3,977,552,700 ",,,"$33,215,100 ",,,"$4,010,767,800 ",10925,,,102,,,11027
Florida,Nassau County,"$2,101,249,700 ","$675,184,700 ","$159,439,900 ","$134,444,500 ",,,"$3,070,318,800 ",5207,1991,476,392,,,8066
Florida,Palm Beach County,"$14,595,557,100 ",,,,,,"$14,595,557,100 ",25595,,,,,,25595
Florida,Putnam County,"$103,215,900 ","$19,840,500 ","$61,451,400 ","$5,814,800 ","$7,049,600 ",,"$197,372,200 ",531,107,227,29,18,,912
Florida,St. Johns County,"$6,712,162,500 ","$630,725,800 ","$1,371,964,200 ","$105,000 ",,,"$8,714,957,500 ",18532,2083,3794,1,,,24410
